time_period,rainfall,mean_temperature,disease_cases,population,location
2021-02-01/2021-02-07,0.000838747885553799,296.01385548736584,47.0,100675,boaco
2021-02-08/2021-02-14,0.0004591076900753898,297.11840762826625,38.0,100106,boaco
2021-02-15/2021-02-21,0.0022198694874735092,295.7523139959244,46.0,100316,boaco
2021-02-22/2021-02-28,0.0013578361683217865,295.7769433018932,47.0,100726,boaco
2021-03-01/2021-03-07,0.0022842690407302627,296.0792588244605,39.0,100192,boaco
2021-03-08/2021-03-14,0.0016102481207031453,295.8847516520527,34.0,100853,boaco
2021-03-15/2021-03-21,0.0004523805382608094,296.74838626221367,32.0,100166,boaco
2021-03-22/2021-03-28,0.0017034175867881288,296.797510875973,16.0,100236,boaco
2021-03-29/2021-04-04,0.002022779187469503,296.936563315483,26.0,100737,boaco
2021-04-05/2021-04-11,0.0012779418575032716,298.28146111067906,31.0,100720,boaco
2021-04-12/2021-04-18,0.003044230373571258,297.68262779534234,23.0,100295,boaco
2021-04-19/2021-04-25,0.00023860863570444716,298.2472255197276,23.0,100966,boaco
2021-04-26/2021-05-02,0.0024990288242284662,298.1265635439145,35.0,100577,boaco
2021-05-03/2021-05-09,0.0036476484703858426,297.34841733418165,35.0,100967,boaco
2021-05-10/2021-05-16,0.001008732542540106,298.39150158534096,22.0,100682,boaco
2021-05-17/2021-05-23,0.0027284372227304845,297.44422144872743,32.0,100192,boaco
2021-05-24/2021-05-30,0.0008619397247377962,298.297302727455,30.0,100698,boaco
2021-05-31/2021-06-06,0.005091427370729189,296.84501723491167,22.0,100011,boaco
2021-06-07/2021-06-13,0.010010952638766762,296.8490098011839,26.0,100765,boaco
2021-06-14/2021-06-20,0.002746684738962308,297.2194297984761,20.0,100730,boaco
2021-06-21/2021-06-27,0.006129084547250403,296.65555618152626,22.0,100616,boaco
2021-06-28/2021-07-04,0.00433507438854002,296.9967244397783,14.0,100058,boaco
2021-07-05/2021-07-11,0.003843627721803341,296.2157496676122,29.0,100597,boaco
2021-07-12/2021-07-18,0.0023310042231932753,297.0899631410567,27.0,100257,boaco
2021-07-19/2021-07-25,0.0030458609953351668,296.9910757970439,26.0,100010,boaco
2021-07-26/2021-08-01,0.003733705531964173,296.9134481754983,28.0,100766,boaco
2021-08-02/2021-08-08,0.0026888984177855764,296.9276959913682,16.0,100550,boaco
2021-08-09/2021-08-15,0.006970342228289147,297.11583036796327,24.0,100172,boaco
